"title","url","date"
"Two children and a woman in her 30s die in flat fire as man in his 30s who escaped fights for his life in hospital","https://www.dailymail.co.uk/news/article-12253817/Boy-girl-woman-die-flat-fire-man-30s-escaped-fights-life-hospital.html","2023-07-01"
"AGELESS STYLE: The key to success in swimsuit shopping and the best brands for confidence-boosting cuts are revealed by stylist ARABELLA GREENHILL","https://www.dailymail.co.uk/femail/article-12241555/The-key-success-swimsuit-shopping-best-brands-confidence-boosting-cuts.html","2023-07-01"
"I tried to use medieval laws to get out of a speeding fine… it DIDN'T work","https://www.dailymail.co.uk/money/cars/article-12245961/Man-tried-sue-police-210million-terrorism-charges-using-medieval-laws-speeding-battle.html?ico=mol_desktop_home","2023-07-01"
"Police arrest three Animal Rising activists before £175,000 greyhound racing final that group vowed to disrupt","https://www.dailymail.co.uk/news/article-12254037/Police-arrest-three-Animal-Rising-activists-175K-greyhound-racing-final.html","2023-07-01"
"Terrifying moment American XL bully dog charges at police officers after being unleashed by owner who they were trying to arrest","https://www.dailymail.co.uk/news/article-12253769/Terrifying-moment-American-XL-bully-dog-charges-police-officers.html","2023-07-01"
"Your horoscopes: Is this your week for a relationship under pressure or are you destined for a win?","https://www.dailymail.co.uk/femail/article-12241587/Your-horoscopes-week-relationship-pressure-destined-win.html","2023-07-01"
"Driver warning over easy windscreen washer error that could end up costing you THOUSANDS","https://www.dailymail.co.uk/money/cars/article-12237571/Driver-warning-easy-windscreen-washer-error-end-costing-THOUSANDS.html?ico=mol_desktop_home","2023-07-01"
"David Brent's NEW Office: Ricky Gervis plans extension on his £3million rural mansion to add extra bedroom to riverside retreat","https://www.dailymail.co.uk/property/article-12251285/David-Brents-NEW-Office-Ricky-Gervis-plans-extension-3million-rural-mansion.html","2023-07-01"
"Footballers' business ideas that Gary Neville WOULDN'T invest in on Dragons' Den: From Heskey's doomed restaurant, Friedel's £20,000-a-year academy and financial advisers backed by Rooney and Ferdinand...","https://www.dailymail.co.uk/sport/football/article-12242725/Footballers-business-ideas-Gary-Neville-WOULDNT-invest-Dragons-Den.html","2023-07-01"
"Meghan and Harry 'believe they have been ""repeatedly unlucky"" and blame Covid, economic woes, the death of the Queen and the failing of Prince Philip's health for their faltering attempts to launch post-royal careers'","https://www.dailymail.co.uk/news/royals/article-12253755/Meghan-Harry-believe-repeatedly-unlucky-amid-flagging-fortunes.html","2023-07-01"
"It was KATE who insisted 'recollections may vary' line must stay in royal family's fightback statement after Harry and Meghan's Oprah 'racism' storm, new book claims: 'Princess said history would judge The Firm over its response to TV allegations'","https://www.dailymail.co.uk/news/article-12252631/Fighting-Princess-Kate-hit-Harry-Meghans-explosive-Oprah-interview.html","2023-07-01"
"ALISON BOSHOFF: Just as Meghan hires a Hollywood powerbroker to boost her career, Harry's work sees him returning to his campaigning roots... So is the Prince tiring of his wife's showbiz world?","https://www.dailymail.co.uk/tvshowbiz/article-12252611/ALISON-BOSHOFF-Harry-returning-campaigning-tiring-Meghans-showbiz-world.html","2023-07-01"
"Kate 'is playing the long game' and is always aware that 'I am going to be Queen one day': New revelations show she is the REAL steely operator in the Palace, sources say","https://www.dailymail.co.uk/news/royals/article-12253683/Kate-playing-long-game-aware-going-Queen-one-day.html","2023-07-01"
"BORIS JOHNSON: We must take radical action to get Rwanda done! Britain has a proud history of giving sanctuary to those in fear of their lives... but we can't allow the traffickers to keep mocking our immigration system","https://www.dailymail.co.uk/news/article-12251359/BORIS-JOHNSON-radical-action-Rwanda-done.html","2023-07-01"
"JANET STREET-PORTER: The terrifying moment I was verbally abused by a stranger in a car during my seaside walk and why - like Daisy Goodwin - I must speak out to help fight the scourge of threats to women","https://www.dailymail.co.uk/columnists/article-12251003/JANET-STREET-PORTER-verbally-abused-stranger-like-Daisy-Goodwin-speak-out.html","2023-07-01"
"Will a woke obsession with diversity sink the RNLI? Some have called it a migrant 'taxi service', now SUE REID investigates how the lifeboat charity is mired in a toxic culture clash","https://www.dailymail.co.uk/news/article-12252423/Will-woke-obsession-diversity-sink-RNLI-SUE-REID-investigates-lifeboat-charitY.html","2023-07-01"
"The TEN key questions surrounding Madeleine McCann prime suspect Christian Brueckner... who still denies any part in her 2007 disappearance","https://www.dailymail.co.uk/news/article-12251993/TEN-key-questions-surrounding-Madeleine-McCann-suspect-Christian-Brueckner.html","2023-07-01"
"I locked up some of Britain's most dangerous crooks - but desktop cops and woke policing are making our streets a haven for gangs","https://www.dailymail.co.uk/news/article-12237683/I-locked-Britains-dangerous-crooks-heres-gangs-taking-over.html","2023-07-01"
"'This is why I kiss everybody!' Joanna Lumley reveals she suffers from face blindness and struggles to recognise people she knows","https://www.dailymail.co.uk/tvshowbiz/article-12253969/Joanna-Lumley-reveals-suffers-face-blindness-struggles-recognise-people-knows.html","2023-07-01"
"The Dragons' Den Rich List: Which of the 19 entrepreneurs has the biggest fortune... and how do they compare to BBC show's newest star Gary Neville?","https://www.dailymail.co.uk/femail/article-12243029/The-Dragons-Den-Rich-List-19-entrepreneurs-biggest-fortune.html","2023-07-01"
"What happened to the iconic cars of the 80s and 90s? From the Ford Fiesta set to run out of road to the Fiat Panda back in vogue today","https://www.dailymail.co.uk/money/cars/article-12250553/What-happened-iconic-cars-80s-90s.html?ico=mol_desktop_home","2023-07-01"
"Why you must take a meter reading today: Customers should record gas and energy usage to avoid being overcharged as new prices come into force that should save households £426 a year","https://www.thisismoney.co.uk/money/article-12253291/People-told-read-meters-energy-prices-fall.html?ico=mol_desktop_home-newtab&molReferrerUrl=https%3A%2F%2Fwww.dailymail.co.uk%2Fhome%2Findex.html","2023-07-01"
"The bikini ban: Brits warned they could be fined hundreds or sent to JAIL for daring to bare in these holiday hotspots","https://www.dailymail.co.uk/travel/article-12238161/Brits-warned-fined-JAILED-wearing-bikini-holiday-locations.html","2023-07-01"
"Everyone's talking about: Smart sex","https://www.dailymail.co.uk/femail/article-12250493/Everyones-talking-Smart-sex.html","2023-07-01"
"Chic List: My voyage back to the 70s","https://www.dailymail.co.uk/femail/article-12241539/Chic-List-voyage-70s.html","2023-07-01"
"Liz Jones's Diary: In which I view a not-so-des res","https://www.dailymail.co.uk/femail/article-12241597/Liz-Joness-Diary-view-not-des-res.html","2023-07-01"
"Caroline West-Meads: My friend had a terrible childhood","https://www.dailymail.co.uk/femail/article-12241595/Caroline-West-Meads-friend-terrible-childhood.html","2023-07-01"
"Matching clothes, Beckingham Palace, four kids, THAT 'affair' and more: As David and Victoria Beckham's 24th wedding anniversary looms, a look at love they were told 'would never last'","https://www.dailymail.co.uk/tvshowbiz/article-12246971/As-David-Victoria-Beckhams-24th-wedding-anniversary-looms-look-romance.html","2023-07-01"
"He pursued female sex crime victims, took cocaine and went to orgies. So how did this senior Met detective keep his job on full pay for SEVEN years, as well as his pension?","https://www.dailymail.co.uk/news/article-12252171/Why-did-seven-years-sack-drug-taking-orgy-loving-Met-detective-elite-rape-squad.html","2023-07-01"
"Pregnant nurse, 28, bled to death at home more than four hours after calling for an ambulance, inquest hears","https://www.dailymail.co.uk/news/article-12253773/Pregnant-nurse-bled-death-four-hours-calling-ambulance-inquest-hears.html","2023-07-01"
"The bottles of wine that are worth more than gold: Collectable wines are outstripping other investments - these are the best bottles worth up to $264,000 each","https://www.dailymail.co.uk/femail/article-12241579/Collectable-wines-outstripping-investments-best-bottles-worth-264k.html","2023-07-01"
"The psychiatrist's view on the world's greatest courtroom escapes: Expert explains the split-second decisions behind a criminal's break for freedom","https://www.dailymail.co.uk/news/article-12242853/The-psychiatrists-view-worlds-greatest-courtroom-escapes.html","2023-07-01"
"Family in desperate bid to raise £60,000 to fly 'amazing' bar worker, 22, back to UK from Cyprus hospital where she is in coma after suffering serious head injuries and broken spine in Ayia Napa buggy crash","https://www.dailymail.co.uk/news/article-12254019/Family-bid-fly-22-year-old-UK-Cyprus-coma-Ayia-Napa-crash.html","2023-07-01"
"Urgent warning for Android users over apps that steal your bank details","https://www.dailymail.co.uk/sciencetech/article-12239235/Urgent-warning-Android-users-apps-steal-bank-details.html","2023-07-01"
"Green-fingered expert reveals the EXACT time of day you should avoid doing your gardening","https://www.dailymail.co.uk/femail/article-12238871/Im-green-fingered-expert-EXACT-time-day-avoid-doing-gardening.html","2023-07-01"
"Auf Wiedersehen Brit! Drunk Germans take the title of WORST tourists from boozy British holidaymakers in Majorca","https://www.dailymail.co.uk/news/article-12250883/Drunk-Germans-WORSE-boozy-Brits-say-Majorca-locals.html","2023-07-01"
"Amazon Prime users could be have to watch ads despite paying monthly fee","https://www.dailymail.co.uk/sciencetech/article-12234229/Amazon-Prime-users-watch-ads-despite-paying-monthly-fee.html","2023-07-01"
"My face doubled in size from 'sun poisoning' - I looked like Lenny from Shark Tale","https://www.dailymail.co.uk/health/article-12243455/My-face-doubled-size-sun-poisoning-looked-like-Lenny-Shark-Tale.html","2023-07-01"
"Guy Gibson's goddaughter Lynne Cox becomes first relative of Dambusters heroes to speak out against plans to turn their historic RAF Scampton base into a centre for 2,000 asylum seekers","https://www.dailymail.co.uk/news/article-12253781/First-relative-Dambusters-heroes-speaks-against-plan-turn-historic-base-asylum-centre.html","2023-07-01"
"Emirates flight is grounded with smoke pouring from its rear moments before take off","https://www.dailymail.co.uk/news/article-12253831/Emirates-flight-grounded-smoke-pouring-Russia-Dubai.html","2023-07-01"
"Staycation doppelgangers! Forget flying abroad - these stunning UK destinations and landmarks look VERY similar to foreign holiday hotspots, from Birmingham to Cornwall","https://www.dailymail.co.uk/travel/article-12173661/Staycation-doppelgangers-UK-destinations-look-similar-foreign-holiday-hotspots.html","2023-07-01"
"The Elizabeth Line gravy train: How property prices have soared by up to 14% near some Crossrail stations… but values have dropped by 17% in others","https://www.dailymail.co.uk/property/article-12246285/Has-Elizabeth-Line-led-booming-property-prices.html","2023-07-01"
"Ellie Goulding attempted to keep relationship troubles with husband Caspar Jopling secret for the sake of their son Arthur after living separate lives for six months, friends reveal","https://www.dailymail.co.uk/tvshowbiz/article-12252083/Ellie-Goulding-attempted-troubles-husband-Caspar-Joplin-secret.html","2023-07-01"
"Is the veganism hype over? How sales of fake meat brands are dwindling across the UK with chains like Pret rolling back meat-free products and dozens of independent plant-based restaurants shutting down","https://www.dailymail.co.uk/femail/article-12237675/Brits-abandoning-veganism-brands-dwindling-country.html","2023-07-01"
"The High Street iced coffees laced with more sugar than a Mars bar or can of Coke: Is your favourite going to leave a nasty taste?","https://www.dailymail.co.uk/news/article-12253113/High-street-chains-selling-iced-coffees-laced-sugar-Mars-bar-Coke.html","2023-07-01"
"Pictured: Boy, 17, who was pulled from canal with fatal stab wounds as teens aged 14, 15 and 17 are arrested for his murder","https://www.dailymail.co.uk/news/article-12253611/Pictured-Boy-17-pulled-canal-fatal-stab-wounds.html","2023-07-01"
